Tick,Throttle,Speed,Current,Voltage
12138,0, 0, 202, 52410
12444,0, 0, 203, 52410
12494,0, 0, 203, 52410
12544,0, 0, 203, 52409
12594,0, 0, 203, 52409
12644,0, 0, 203, 52409
12694,0, 0, 203, 52409
12744,0, 0, 202, 52409
12794,0, 0, 202, 52409
12844,0, 0, 202, 52409
12894,0, 0, 202, 52409
12944,0, 0, 202, 52409
12994,0, 0, 202, 52409
13044,0, 0, 202, 52409
13094,0, 0, 202, 52409
13144,0, 0, 202, 52409
13194,0, 0, 202, 52409
13244,0, 0, 202, 52409
13294,0, 0, 202, 52409
13344,0, 0, 202, 52408
13394,0, 0, 202, 52408
13614,0, 0, 201, 52408
13664,0, 0, 201, 52408
13714,0, 0, 201, 52408
13764,0, 0, 201, 52409
13814,0, 0, 201, 52409
13864,0, 0, 201, 52409
13914,0, 0, 201, 52409
13964,0, 0, 201, 52409
14014,0, 0, 201, 52409
14064,0, 0, 201, 52409
14114,0, 0, 201, 52409
14164,0, 0, 201, 52409
14214,0, 0, 201, 52409
14264,0, 0, 201, 52409
14314,0, 0, 201, 52409
14364,0, 0, 203, 52409
14414,0, 0, 203, 52409
14464,0, 0, 203, 52409
14514,0, 0, 203, 52409
14564,0, 0, 203, 52408
14700,0, 0, 203, 52408
14750,0, 0, 203, 52408
14842,0, 0, 203, 52408
14892,0, 0, 203, 52408
14942,0, 0, 203, 52408
14992,0, 0, 203, 52408
15042,0, 0, 203, 52408
15092,0, 0, 203, 52408
15142,0, 0, 203, 52408
15192,0, 0, 202, 52408
15242,0, 0, 202, 52408
15292,0, 0, 202, 52408
15342,0, 0, 202, 52408
15392,0, 0, 202, 52407
15442,0, 0, 202, 52407
15492,0, 0, 202, 52407
15542,0, 0, 202, 52407
15592,0, 0, 202, 52407
15642,0, 0, 202, 52407
15692,0, 0, 202, 52407
15828,0, 0, 202, 52408
15878,0, 0, 202, 52408
15928,0, 0, 202, 52408
15978,0, 0, 210, 52408
16028,0, 0, 210, 52408
16120,0, 0, 210, 52408
16170,0, 0, 210, 52406
16220,0, 0, 210, 52406
16270,0, 0, 210, 52406
16320,0, 0, 210, 52406
16370,0, 0, 210, 52406
16420,0, 0, 210, 52406
16470,0, 0, 210, 52406
16520,0, 0, 210, 52406
16570,0, 0, 210, 52408
16620,0, 0, 210, 52408
16670,0, 0, 210, 52408
16720,0, 0, 210, 52408
16770,0, 0, 220, 52408
16820,0, 0, 220, 52408
16956,0, 0, 220, 52408
17006,0, 0, 220, 52407
17056,0, 0, 220, 52407
17106,0, 0, 220, 52407
17156,0, 0, 220, 52407
17206,0, 0, 222, 52407
17256,0, 0, 222, 52407
17349,0, 0, 222, 52407
17399,0, 0, 222, 52407
17449,0, 0, 222, 52407
17499,0, 0, 222, 52407
17549,0, 0, 222, 52407
17599,0, 0, 219, 52407
17649,0, 0, 219, 52407
17699,0, 0, 219, 52407
17749,0, 0, 219, 52407
17799,0, 0, 219, 52407
17849,0, 0, 219, 52407
17899,0, 0, 219, 52407
17949,0, 0, 219, 52407
18085,0, 0, 222, 52407
18135,0, 0, 222, 52407
18185,0, 0, 222, 52406
18235,0, 0, 222, 52406
18285,0, 0, 222, 52406
18335,0, 0, 222, 52406
18385,0, 0, 203, 52406
18435,0, 0, 203, 52406
18485,0, 0, 203, 52406
18578,0, 0, 203, 52405
18628,0, 0, 203, 52405
18678,0, 0, 203, 52405
18728,0, 0, 203, 52405
18778,0, 0, 226, 52405
18828,0, 0, 226, 52405
18878,0, 0, 226, 52405
18928,0, 0, 226, 52405
18978,0, 0, 226, 52405
19028,0, 0, 226, 52405
19078,0, 0, 226, 52405
19214,0, 0, 201, 52405
19264,0, 0, 201, 52405
19314,0, 0, 201, 52405
19364,0, 0, 201, 52405
19414,0, 0, 201, 52406
19464,0, 0, 201, 52406
19514,0, 0, 201, 52406
19564,0, 0, 201, 52406
19614,0, 0, 205, 52406
19664,0, 0, 205, 52406
19714,0, 0, 205, 52406
19764,0, 0, 205, 52406
19857,0, 0, 205, 52407
19907,0, 0, 205, 52407
19957,0, 0, 205, 52407
20007,0, 0, 201, 52407
20057,0, 0, 201, 52407
20107,0, 0, 201, 52407
20157,0, 0, 201, 52407
20207,0, 0, 201, 52405
20343,0, 0, 201, 52405
