Tick,Throttle,Speed,Current,Voltage,,
28411,0,1667,151,52570,,
28461,0,1667,166,52570,,
28511,0,1667,166,52570,,
28561,0,1667,166,52570,,
28611,0,1667,166,52570,,
28703,0,1667,166,52571,,
28753,0,1667,166,52571,,
28803,0,1667,166,52571,,
28853,0,1667,171,52571,,
28989,0,1667,171,52571,,
29039,0,0,171,52571,,
29089,0,0,171,52571,,
29139,0,0,171,52571,,
29189,0,0,171,52571,,
29239,0,0,171,52571,,
29289,0,0,167,52571,,
29339,0,0,167,52571,,
29389,0,0,167,52571,,
29439,0,0,167,52571,,
29489,0,0,167,52570,,
29539,0,0,167,52570,,
29589,0,0,167,52570,,
29639,0,0,167,52570,,
29689,0,0,183,52570,,
29739,0,0,183,52570,,
29789,0,0,183,52570,,
29882,0,0,183,52570,,
29932,0,0,183,52570,,
29982,0,0,183,52570,,
30118,0,0,119,52570,,
30168,0,0,119,52570,,
30218,0,0,119,52570,,
30268,0,0,119,52570,,
30318,0,0,119,52570,,
30368,0,0,119,52570,,
30418,0,0,119,52570,,
30468,0,0,118,52570,,
30518,0,0,118,52570,,
30568,0,0,118,52570,,
30618,0,0,118,52570,,
30668,0,0,118,52570,,
30718,0,0,118,52570,,
30768,0,0,118,52570,,
30818,0,0,118,52570,,
30868,0,0,118,52570,,
31005,0,0,118,52570,,
31055,0,0,118,52570,,
31105,0,0,118,52570,,
31155,0,0,118,52570,,
31248,0,0,118,52570,,
31298,0,0,118,52570,,
31348,0,0,118,52570,,
31398,0,0,118,52570,,
31448,0,0,118,52570,,
31498,0,0,118,52570,,
31548,0,0,118,52570,,
31598,0,0,118,52570,,
31648,0,0,118,52570,,
31698,0,0,118,52570,,
31748,0,0,118,52570,,
31798,0,0,118,52570,,
31848,0,0,118,52570,,
31898,0,0,118,52570,,
31948,0,0,118,52570,,
31998,0,0,118,52570,,
32134,0,0,117,52570,,
32184,0,0,117,52570,,
32234,0,0,117,52570,,
32284,0,0,117,52571,,
32334,0,0,117,52571,,
32384,0,0,117,52571,,
32476,0,0,118,52571,,
32526,0,0,118,52571,,
32576,0,0,118,52571,,
32626,0,0,118,52571,,
32676,0,0,118,52570,,
32726,0,0,118,52570,,
32776,0,0,118,52570,,
32826,0,0,118,52570,,
32876,0,0,117,52570,,
32926,0,0,117,52570,,
32976,0,0,117,52570,,
33026,0,0,117,52570,,
33076,0,0,117,52569,,
33126,0,0,117,52569,,
33262,0,0,117,52569,,
33312,0,0,118,52569,,
33362,0,0,118,52569,,
33412,0,0,118,52569,,
33462,0,0,118,52569,,
33512,0,0,118,52569,,
33562,0,0,118,52569,,
33612,0,0,118,52569,,
33705,0,0,117,52569,,
33755,0,0,117,52569,,
33805,0,0,117,52569,,
33855,0,0,117,52569,,
33905,0,0,117,52570,,
33955,0,0,117,52570,,
34005,0,0,117,52570,,
34055,0,0,117,52570,,
34105,0,0,117,52570,,
34155,0,0,117,52570,,
34205,0,0,117,52570,,
34255,0,0,117,52570,,
34390,0,0,117,52568,,
34440,0,0,117,52568,,
34490,0,0,118,52568,,
34540,0,0,118,52568,,
34590,0,0,118,52568,,
34640,0,0,118,52568,,
34690,0,0,118,52568,,
34740,0,0,118,52568,,
34790,0,0,118,52568,,
34840,0,0,118,52568,,
34932,0,0,118,52568,,
34982,0,0,118,52568,,
35032,0,0,118,52568,,
35082,0,0,118,52568,,
35132,0,0,118,52569,,
35182,0,0,118,52569,,
35232,0,0,118,52569,,
35282,0,0,118,52569,,
35332,0,0,118,52569,,
35382,0,0,118,52569,,
35517,0,0,118,52569,,
35567,0,0,118,52569,,
35617,0,0,118,52569,,
35667,0,0,118,52569,,
35717,0,0,118,52569,,
35767,0,0,118,52569,,
35817,0,0,118,52569,,
35867,0,0,118,52569,,
35917,0,0,118,52568,,
35967,0,0,118,52568,,
36017,0,0,118,52568,,
36067,0,0,118,52568,,
36117,0,0,118,52568,,
36209,0,0,118,52568,,
36259,0,0,118,52568,,
36309,0,0,118,52569,,
36359,0,0,118,52569,,
36409,0,0,118,52569,,
36459,0,0,118,52569,,
36509,0,0,119,52569,,
36645,0,0,119,52569,,
36695,0,0,119,52567,,
36745,0,0,119,52567,,
36795,0,0,119,52567,,
36845,0,0,119,52567,,
36895,0,0,119,52567,,
36945,0,0,177,52567,,
36995,0,0,177,52567,,
37045,0,0,177,52567,,
37095,0,0,177,52567,,
37145,0,0,177,52570,,
37195,0,0,177,52570,,
37245,0,0,177,52570,,
37295,0,0,177,52570,,
37345,0,0,209,52570,,
37437,0,0,209,52570,,
37487,0,0,209,52570,,
37537,0,0,209,52568,,
37587,0,0,209,52568,,
37637,0,0,209,52568,,
37773,0,0,200,52568,,
37823,0,0,200,52568,,
37873,0,0,200,52568,,
37923,0,0,200,52568,,
37973,0,0,200,52568,,
38023,0,0,200,52568,,
38073,0,0,200,52568,,
38123,0,0,173,52568,,
38173,0,0,173,52568,,
38223,0,0,173,52568,,
38273,0,0,173,52568,,
38323,0,0,173,52568,,
38373,0,0,173,52568,,
38423,0,0,173,52568,,
38473,0,0,173,52568,,
38523,0,0,129,52568,,
38573,0,0,129,52568,,
38665,0,0,129,52568,,
38715,0,0,129,52569,,
38765,0,0,129,52569,,
38901,0,0,129,52569,,
38951,0,0,118,52569,,
39001,0,0,118,52569,,
39051,0,0,118,52569,,
39101,0,0,118,52569,,
39151,0,0,118,52569,,
39201,0,0,118,52569,,
39251,0,0,118,52569,,
39301,0,0,118,52569,,
39351,0,0,117,52569,,
39401,0,0,117,52569,,
39451,0,0,117,52569,,
39501,0,0,117,52569,,
39551,0,0,117,52568,,
39601,0,0,117,52568,,
39651,0,0,117,52568,,
39701,0,0,117,52568,,
39751,0,0,117,52568,,
39801,0,0,117,52568,,
39851,0,0,117,52568,,
40030,0,0,117,52568,,
40080,0,0,117,52568,,
40130,0,0,118,52568,,
40180,0,0,118,52568,,
40230,0,0,118,52568,,
40280,0,0,118,52568,,
40330,0,0,118,52568,,
40380,0,0,118,52568,,
40430,0,0,118,52568,,
40480,0,0,118,52568,,
40530,0,0,118,52568,,
40580,0,0,118,52568,,
40630,0,0,118,52568,,
40680,0,0,118,52568,,
40730,0,0,118,52569,,
40780,0,0,118,52569,,
40830,0,0,118,52569,,
40880,0,0,118,52569,,
40930,0,0,119,52569,,
40980,0,0,119,52569,,
41116,0,0,119,52569,,
41166,0,0,119,52567,,
41258,0,0,119,52567,,
41308,0,0,119,52567,,
41358,0,0,117,52567,,
41408,0,0,117,52567,,
41458,0,0,117,52567,,
41508,0,0,117,52567,,
41558,0,0,117,52568,,
41608,0,0,117,52568,,
41658,0,0,117,52568,,
41708,0,0,117,52568,,
41758,0,0,117,52568,,
41808,0,0,117,52568,,
41858,0,0,117,52568,,
41908,0,0,117,52568,,
41958,0,0,117,52568,,
42008,0,0,117,52568,,
42058,0,0,117,52568,,
42108,0,0,117,52568,,
42244,0,0,119,52568,,
42294,0,0,119,52568,,
42344,0,0,119,52568,,
42394,0,0,119,52568,,
42486,0,0,119,52568,,
42536,0,0,118,52568,,
42586,0,0,118,52568,,
42636,0,0,118,52568,,
42686,0,0,118,52568,,
42736,0,0,118,52568,,
42786,0,0,118,52568,,
42836,0,0,118,52568,,
42886,0,0,118,52568,,
42936,0,0,118,52568,,
42986,0,0,118,52568,,
43036,0,0,118,52568,,
43086,0,0,118,52568,,
43136,0,0,118,52568,,
43186,0,0,118,52568,,
43236,0,0,118,52568,,
43372,0,0,119,52568,,
43422,0,0,119,52568,,
43472,0,0,119,52568,,
43522,0,0,119,52568,,
43572,0,0,119,52568,,
43622,0,0,119,52568,,
43715,0,0,119,52568,,
43765,0,0,118,52568,,
43815,0,0,118,52568,,
43865,0,0,118,52568,,
43915,0,0,118,52568,,
43965,0,0,118,52567,,
44015,0,0,118,52567,,
44065,0,0,118,52567,,
44115,0,0,118,52567,,
44165,0,0,118,52567,,
44215,0,0,118,52567,,
44265,0,0,118,52567,,
44315,0,0,118,52567,,
44365,0,0,118,52567,,
44500,0,0,118,52567,,
44550,0,0,118,52567,,
44600,0,0,118,52567,,
44650,0,0,118,52567,,
44700,0,0,118,52567,,
44750,0,0,118,52566,,
44800,0,0,118,52566,,
44850,0,0,118,52566,,
44900,0,0,118,52566,,
44992,0,0,118,52566,,
45042,0,0,118,52566,,
45092,0,0,118,52566,,
45142,0,0,118,52566,,
45192,0,0,118,52567,,
45242,0,0,118,52567,,
45292,0,0,118,52567,,
45427,0,0,118,52567,,
45477,0,0,118,52567,,
45527,0,0,118,52567,,
45577,0,0,118,52568,,
45627,0,0,118,52568,,
45677,0,0,118,52568,,
45727,0,0,118,52568,,
45777,0,0,118,52568,,
45827,0,0,118,52568,,
45877,0,0,118,52568,,
45927,0,0,118,52568,,
45977,0,0,118,52567,,
46027,0,0,118,52567,,
46077,0,0,118,52567,,
46127,0,0,118,52567,,
46219,0,0,118,52567,,
46269,0,0,118,52567,,
46319,0,0,118,52567,,
46369,0,0,118,52567,,
46419,0,0,118,52567,,
46555,0,0,118,52567,,
46605,0,0,118,52567,,
46655,0,0,118,52567,,
46705,0,0,118,52567,,
46755,0,0,118,52567,,
46805,0,0,118,52567,,
46855,0,0,118,52567,,
46905,0,0,118,52567,,
46955,0,0,118,52567,,
47005,0,0,117,52567,,
47055,0,0,117,52567,,
47105,0,0,117,52567,,
47155,0,0,117,52567,,
47205,0,0,117,52567,,
47255,0,0,117,52567,,
47305,0,0,117,52567,,
47355,0,0,117,52567,,
47447,0,0,118,52567,,
47497,0,0,118,52567,,
47547,0,0,118,52567,,
47683,0,0,118,52568,,
47733,0,0,118,52568,,
47783,0,0,118,52568,,
47833,0,0,118,52568,,
47883,0,0,118,52568,,
47933,0,0,118,52568,,
47983,0,0,118,52567,,
48033,0,0,118,52567,,
48083,0,0,118,52567,,
48133,0,0,118,52567,,
48183,0,0,118,52567,,
48233,0,0,118,52567,,
48283,0,0,118,52567,,
48333,0,0,118,52567,,
48383,0,0,118,52566,,
48433,0,0,118,52566,,
48483,0,0,118,52566,,
48533,0,0,118,52566,,
48583,0,0,117,52566,,
48675,0,0,117,52566,,
48811,0,0,117,52567,,
48861,0,0,117,52567,,
48911,0,0,117,52567,,
48961,0,0,117,52567,,
49011,0,0,118,52567,,
49061,0,0,118,52567,,
49111,0,0,118,52567,,
49161,0,0,118,52567,,
49211,0,0,118,52567,,
49261,0,0,118,52567,,
49311,0,0,118,52567,,
49361,0,0,118,52567,,
49411,0,0,118,52567,,
49461,0,0,118,52567,,
49511,0,0,118,52567,,
49561,0,0,118,52567,,
49611,0,0,118,52568,,
49661,0,0,118,52568,,
49711,0,0,118,52568,,
49761,0,0,118,52568,,
49897,0,0,117,52568,,
49947,0,0,117,52568,,
50041,0,0,117,52567,,
50091,0,0,117,52567,,
50141,0,0,117,52567,,
50191,0,0,117,52567,,
50241,0,0,117,52567,,
50291,0,0,117,52567,,
50341,0,0,117,52567,,
50391,0,0,117,52567,,
50441,0,0,117,52567,,
50491,0,0,117,52567,,
50541,0,0,117,52567,,
50591,0,0,118,52567,,
50641,0,0,118,52567,,
50691,0,0,118,52567,,
50741,0,0,118,52567,,
50791,0,0,118,52567,,
50841,0,0,118,52567,,
50891,0,0,118,52567,,
51027,0,0,118,52567,,
51077,0,0,118,52567,,
51127,0,0,118,52567,,
51177,0,0,118,52567,,
51269,0,0,118,52566,,
51319,0,0,118,52566,,
51369,0,0,118,52566,,
51419,0,0,117,52566,,
51469,0,0,117,52566,,
51519,0,0,117,52566,,
51569,0,0,117,52566,,
51619,0,0,117,52567,,
51669,0,0,117,52567,,
51719,0,0,117,52567,,
51769,0,0,117,52567,,
51819,0,0,117,52567,,
51869,0,0,117,52567,,
51919,0,0,117,52567,,
51969,0,0,117,52567,,
52019,0,0,117,52567,,
52155,0,0,117,52567,,
52205,0,0,118,52567,,
52255,0,0,118,52567,,
52305,0,0,118,52567,,
52355,0,0,118,52567,,
52405,0,0,118,52565,,
52498,0,0,118,52565,,
52548,0,0,118,52565,,
52598,0,0,183,52565,,
52648,0,0,183,52565,,
52698,0,0,183,52565,,
52748,0,0,183,52565,,
52798,0,0,183,52565,,
52848,0,0,183,52565,,
52898,0,0,183,52565,,
52948,0,0,183,52565,,
52998,0,0,183,52565,,
53048,0,0,162,52565,,
53098,0,0,162,52565,,
53148,0,0,162,52565,,
53284,0,0,162,52565,,
53334,0,0,162,52565,,
53384,0,0,162,52565,,
53434,0,0,162,52565,,
53484,0,0,162,52565,,
53534,0,0,162,52565,,
53584,0,0,162,52565,,
53634,0,0,162,52565,,
53727,0,0,162,52565,,
53777,0,0,162,52565,,
53827,0,0,163,52565,,
53877,0,0,163,52565,,
53927,0,0,163,52565,,
53977,0,0,163,52565,,
54027,0,0,163,52566,,
54077,0,0,163,52566,,
54127,0,0,163,52566,,
54177,0,0,163,52566,,
54227,0,0,168,52566,,
54277,0,0,168,52566,,
54412,0,0,168,52564,,
54462,0,0,168,52564,,
54512,0,0,168,52564,,
54562,0,0,168,52564,,
54612,0,0,129,52564,,
54662,0,0,129,52564,,
54712,0,0,129,52564,,
54762,0,0,129,52564,,
54812,0,0,129,52566,,
54862,0,0,129,52566,,
54912,0,0,129,52566,,
55046,0,0,118,52566,,
55096,0,0,118,52566,,
55146,0,0,118,52566,,
55196,0,0,118,52566,,
55246,0,0,118,52566,,
55296,0,0,118,52566,,
55346,0,0,118,52566,,
55396,0,0,118,52566,,
55446,0,0,117,52566,,
55751,0,0,117,52565,,
55801,0,0,117,52565,,
55851,0,0,118,52565,,
55901,0,0,118,52565,,
55951,0,0,118,52565,,
56001,0,0,118,52565,,
56051,0,0,118,52565,,
56101,0,0,118,52565,,
56151,0,0,118,52565,,
56201,0,0,118,52565,,
56251,0,0,117,52565,,
56301,0,0,117,52565,,
56351,0,0,117,52565,,
56443,0,0,117,52565,,
56493,0,0,117,52565,,
56543,0,0,117,52565,,
56593,0,0,117,52565,,
56643,0,0,118,52565,,
56693,0,0,118,52565,,
56743,0,0,118,52565,,
56920,0,0,118,52566,,
56970,0,0,118,52566,,
57020,0,0,118,52566,,
57070,0,0,117,52566,,
57120,0,0,117,52566,,
57170,0,0,117,52566,,
57220,0,0,117,52566,,
57270,0,0,117,52563,,
57320,0,0,117,52563,,
57370,0,0,117,52563,,
57420,0,0,117,52563,,
57470,0,0,223,52563,,
57520,0,0,223,52563,,
57570,0,0,223,52563,,
57620,0,0,223,52563,,
57712,0,0,223,52565,,
57762,0,0,223,52565,,
57812,0,0,223,52565,,
57862,0,0,215,52565,,
57912,0,0,215,52565,,
58048,0,0,215,52566,,
58098,0,0,215,52566,,
58148,0,0,215,52566,,
58198,0,0,215,52566,,
58248,0,0,221,52566,,
58298,0,0,221,52566,,
58348,0,0,221,52566,,
58398,0,0,221,52566,,
58448,0,0,221,52565,,
58498,0,0,221,52565,,
58548,0,0,221,52565,,
58598,0,0,221,52565,,
58648,0,0,293,52565,,
58698,0,0,293,52565,,
58748,0,0,293,52565,,
58798,0,0,293,52565,,
58848,0,0,293,52565,,
58940,0,0,293,52565,,
58990,0,0,293,52565,,
59040,0,0,282,52565,,
59176,0,0,282,52565,,
59226,0,0,282,52565,,
59276,0,0,282,52565,,
