Tick,Throttle,Speed,Current,Voltage
18968,0,11348,6748,52078
19274,0,11781,6803,52049
19324,0,11781,6803,52049
19374,0,11781,6803,52049
19424,0,11781,6803,52016
19474,0,11781,6803,52016
19524,0,11781,6803,52016
19574,0,11781,6803,52016
19624,0,11873,6513,52016
19674,0,11873,6513,52016
19724,0,11873,6513,52016
19774,0,11873,6513,52016
19824,0,12244,6513,51993
19874,0,12244,6513,51993
19924,0,12244,6513,51993
19974,0,12244,6513,51993
20024,0,12244,6563,51993
20074,0,12244,6563,51993
20166,0,12244,6563,51993
20216,0,12244,6563,51960
20266,0,12553,6563,51960
20443,0,12553,6667,51960
20493,0,12553,6667,51960
20543,0,12553,6667,51960
20593,0,12553,6667,51940
20643,0,12352,6667,51940
20693,0,12352,6667,51940
20743,0,12352,6667,51940
20793,0,12352,6750,51940
20843,0,12862,6750,51940
20893,0,12862,6750,51940
20943,0,12862,6750,51940
20993,0,12862,6750,51940
21043,0,12862,6750,51908
21093,0,12862,6750,51908
21143,0,12862,6750,51908
21235,0,12970,6853,51908
21285,0,12970,6853,51908
21335,0,12970,6853,51908
21385,0,12970,6853,51908
21435,0,13078,6853,51881
21570,0,13078,6853,51881
21620,0,13078,6927,51881
21670,0,13078,6927,51881
21720,0,13078,6927,51881
21770,0,13078,6927,51881
21820,0,13078,6927,51853
21870,0,13417,6927,51853
21920,0,13417,6927,51853
21970,0,13417,6927,51853
22020,0,13417,7007,51853
22070,0,13078,7007,51853
22120,0,13078,7007,51853
22170,0,13078,7007,51853
22262,0,13773,7007,51828
22312,0,13773,7007,51828
22362,0,13773,7007,51828
22412,0,13773,7110,51828
22462,0,13649,7110,51828
22512,0,13649,7110,51828
22562,0,13649,7110,51828
22698,0,14035,7110,51801
22748,0,14035,7110,51801
22798,0,14035,7110,51801
22848,0,14035,7206,51801
22898,0,14035,7206,51801
22948,0,14035,7206,51801
22998,0,14035,7206,51801
23048,0,14282,7206,51773
23098,0,14282,7206,51773
23148,0,14282,7206,51773
23198,0,14282,7206,51773
23290,0,14282,7299,51773
23340,0,14282,7299,51773
23390,0,14282,7299,51773
23440,0,14560,7299,51743
23490,0,14560,7299,51743
23540,0,14560,7299,51743
23590,0,14560,7299,51743
23640,0,14560,7396,51743
23690,0,14560,7396,51743
23825,0,14159,7396,51727
23875,0,14159,7396,51727
23925,0,14159,7396,51727
23975,0,14159,7396,51727
24025,0,14838,7479,51727
24075,0,14838,7479,51727
24125,0,14838,7479,51727
24175,0,14838,7479,51727
24225,0,14838,7479,51702
