Tick,Throttle,Speed,Current,Voltage
10847,62, 0, 453, 52796
11153,62, 0, 434, 52797
11203,62, 0, 434, 52797
11253,61, 0, 434, 52797
11303,61, 0, 434, 52797
11353,61, 0, 434, 52796
11403,61, 0, 434, 52796
11453,61, 0, 434, 52796
11503,61, 0, 434, 52796
11553,61, 0, 438, 52796
11603,61, 0, 438, 52796
11653,61, 0, 438, 52796
11703,61, 0, 438, 52796
11753,61, 0, 438, 52795
11803,61, 0, 438, 52795
11853,61, 0, 438, 52795
11903,61, 0, 438, 52795
11953,61, 0, 430, 52795
12003,61, 0, 430, 52795
12053,61, 0, 430, 52795
12145,61, 0, 430, 52794
12322,61, 0, 430, 52794
12372,61, 0, 430, 52794
12422,61, 0, 430, 52794
12472,61, 0, 430, 52794
12522,61, 0, 430, 52794
12572,61, 0, 430, 52794
12622,61, 0, 430, 52794
12672,61, 0, 430, 52794
12722,61, 0, 429, 52794
12772,61, 0, 429, 52794
12822,61, 0, 429, 52794
12872,60, 0, 429, 52794
12922,60, 0, 429, 52794
12972,60, 0, 429, 52794
13022,60, 0, 429, 52794
13072,60, 0, 429, 52794
13122,60, 0, 438, 52794
13172,60, 0, 438, 52794
13222,60, 0, 438, 52794
13272,60, 0, 438, 52794
13408,60, 0, 438, 52793
13500,60, 0, 438, 52793
13550,60, 0, 437, 52793
13600,60, 0, 437, 52793
13650,61, 0, 437, 52793
13700,61, 0, 437, 52793
13750,61, 0, 437, 52782
13800,61, 0, 437, 52782
13850,61, 0, 437, 52782
13900,61, 0, 437, 52782
13950,61, 0, 437, 52782
14000,61, 0, 437, 52782
14050,61, 0, 437, 52782
14100,61, 0, 437, 52782
14150,61, 0, 437, 52793
14200,61, 0, 437, 52793
14250,61, 0, 437, 52793
14300,61, 0, 437, 52793
14350,61, 0, 435, 52793
14400,61, 0, 435, 52793
14536,62, 0, 435, 52793
14586,62, 0, 435, 52793
14678,62, 0, 435, 52793
14728,62, 0, 436, 52793
14778,62, 0, 436, 52793
14828,62, 0, 436, 52793
14878,62, 0, 436, 52793
14928,62, 0, 436, 52792
14978,62, 0, 436, 52792
15028,62, 0, 436, 52792
15078,62, 0, 436, 52792
15128,62, 0, 437, 52792
15178,62, 0, 437, 52792
15228,61, 0, 437, 52792
15278,61, 0, 437, 52792
15328,61, 0, 437, 52792
15378,61, 0, 437, 52665
15428,61, 0, 437, 52665
15478,61, 0, 437, 52665
15528,61, 0, 437, 52665
15663,61, 0, 1505, 52665
15713,61, 0, 1505, 52665
15763,61, 0, 1505, 52565
15855,61, 0, 1505, 52565
15905,61, 0, 1505, 52565
15955,61, 0, 1613, 52565
16005,61, 0, 1613, 52565
16055,61, 0, 1613, 52565
16105,61, 0, 1613, 52565
16155,61, 0, 1613, 52569
16205,61, 0, 1613, 52569
16255,61, 0, 1613, 52569
16305,61, 0, 1613, 52569
16355,61, 0, 1574, 52569
16405,61, 0, 1574, 52569
16455,61, 0, 1574, 52569
16505,61, 0, 1574, 52569
16555,61, 0, 1574, 52572
16605,61, 0, 1574, 52572
16655,61, 0, 1574, 52572
16790,61, 0, 1502, 52572
16840,61, 0, 1502, 52572
16890,61, 0, 1502, 52572
16940,61, 0, 1502, 52579
17032,61, 0, 1502, 52579
17082,61, 0, 1502, 52579
17132,61, 0, 1502, 52579
17182,61, 0, 1465, 52579
17232,61, 123, 1465, 52579
17282,61, 123, 1465, 52579
17332,61, 123, 1465, 52579
17382,61, 123, 1465, 52586
17432,61, 123, 1465, 52586
17482,61, 123, 1465, 52586
17532,61, 123, 1465, 52586
17582,61, 123, 1411, 52586
17632,61, 123, 1411, 52586
17682,61, 123, 1411, 52586
17732,61, 123, 1411, 52586
17782,61, 123, 1411, 52589
17918,61, 123, 1411, 52589
17968,61, 123, 1374, 52589
18018,61, 123, 1374, 52589
18111,61, 123, 1374, 52589
18161,61, 123, 1374, 52610
18211,61, 123, 1374, 52610
18261,61, 123, 1374, 52610
18311,61, 123, 1374, 52610
18361,62, 123, 1275, 52610
18411,62, 123, 1275, 52610
18461,62, 0, 1275, 52610
18511,62, 0, 1275, 52610
18561,62, 0, 1275, 52614
18611,62, 0, 1275, 52614
18661,62, 0, 1275, 52614
18711,62, 0, 1275, 52614
18761,62, 0, 1216, 52614
18811,62, 0, 1216, 52614
18861,62, 0, 1216, 52614
18911,62, 0, 1216, 52614
19047,62, 0, 1216, 52616
19097,62, 0, 1216, 52616
19147,62, 0, 1216, 52616
19240,62, 1899, 1209, 52616
19290,62, 1899, 1209, 52616
19340,62, 1899, 1209, 52616
19390,62, 1899, 1209, 52619
19440,62, 1899, 1209, 52619
19490,62, 1899, 1209, 52619
19540,62, 1899, 1209, 52619
19590,62, 1899, 1177, 52619
19640,62, 1899, 1177, 52619
19690,62, 1899, 1177, 52619
19740,62, 1899, 1177, 52619
19790,62, 1899, 1177, 52630
19840,62, 1899, 1177, 52630
19890,62, 1899, 1177, 52630
19940,0, 1899, 1177, 52630
19990,0, 1899, 1122, 52630
20040,0, 1899, 1122, 52630
20177,0, 1899, 1122, 52765
20269,0, 1899, 1122, 52765
20319,0, 1899, 1122, 52765
20369,0, 1899, 444, 52765
20419,0, 1899, 444, 52765
20469,0, 0, 444, 52765
20519,0, 0, 444, 52765
20569,0, 0, 444, 52768
20619,0, 0, 444, 52768
20669,0, 2269, 444, 52768
20719,0, 2269, 444, 52768
20769,0, 2269, 446, 52768
20819,0, 2269, 446, 52768
20869,0, 2269, 446, 52768
20919,0, 2269, 446, 52768
20969,0, 2269, 446, 52768
21019,0, 2269, 446, 52768
21069,0, 2269, 446, 52768
21119,0, 2269, 446, 52768
21169,0, 2269, 442, 52768
21304,0, 2269, 442, 52768
21396,0, 2269, 442, 52769
21446,0, 2269, 442, 52769
21496,0, 2269, 442, 52769
21546,0, 2269, 442, 52769
21596,0, 2269, 439, 52769
21646,0, 2269, 439, 52769
21696,0, 2269, 439, 52769
21746,0, 2269, 439, 52769
21796,0, 2269, 439, 52768
21846,0, 0, 439, 52768
